"cc_iso3c","cc_name_long","cc_name_short","un_m49","unicode_flag","cc_status","cc_ascii","cc_grep"
"ABW","Aruba","Aruba",533,"🇦🇼","Other ISO 3166-1 assigned or reserved entity","Aruba","aruba"
"AFG","Afghanistan","Afghanistan",4,"🇦🇫","UN member","Afghanistan","afghanistan"
"AGO","Angola","Angola",24,"🇦🇴","UN member","Angola","angola"
"AIA","Anguilla","Anguilla",660,"🇦🇮","Other ISO 3166-1 assigned or reserved entity","Anguilla","anguilla"
"ALA","Åland Islands","Åland",248,"🇦🇽","Other ISO 3166-1 assigned or reserved entity","Aland","aland"
"ALB","Albania","Albania",8,"🇦🇱","UN member","Albania","albania"
"AND","Andorra","Andorra",20,"🇦🇩","UN member","Andorra","andorra"
"ARE","United Arab Emirates","United Arab Emirates",784,"🇦🇪","UN member","United Arab Emirates","united arab emirates uae"
"ARG","Argentina","Argentina",32,"🇦🇷","UN member","Argentina","argentina"
"ARM","Armenia","Armenia",51,"🇦🇲","UN member","Armenia","armenia"
"ASM","American Samoa","American Samoa",16,"🇦🇸","Other ISO 3166-1 assigned or reserved entity","American Samoa","american samoa"
"ATA","Antarctica","Antarctica",10,"🇦🇶","Other ISO 3166-1 assigned or reserved entity","Antarctica","antarctica"
"ATF","French Southern Territories","French Southern Territories",260,"🇹🇫","Other ISO 3166-1 assigned or reserved entity","French Southern Territories","french southern territories"
"ATG","Antigua and Barbuda","Antigua & Barbuda",28,"🇦🇬","UN member","Antigua & Barbuda","antigua barbuda"
"AUS","Australia","Australia",36,"🇦🇺","UN member","Australia","australia"
"AUT","Austria","Austria",40,"🇦🇹","UN member","Austria","austria"
"AZE","Azerbaijan","Azerbaijan",31,"🇦🇿","UN member","Azerbaijan","azerbaijan"
"BDI","Burundi","Burundi",108,"🇧🇮","UN member","Burundi","burundi"
"BEL","Belgium","Belgium",56,"🇧🇪","UN member","Belgium","belgium"
"BEN","Benin","Benin",204,"🇧🇯","UN member","Benin","benin"
"BES","Caribbean Netherlands","Caribbean Netherlands",535,"🇧🇶","Other ISO 3166-1 assigned or reserved entity","Caribbean Netherlands","caribbean netherlands bonaire st eustatius saba"
"BFA","Burkina Faso","Burkina Faso",854,"🇧🇫","UN member","Burkina Faso","burkina faso"
"BGD","Bangladesh","Bangladesh",50,"🇧🇩","UN member","Bangladesh","bangladesh"
"BGR","Bulgaria","Bulgaria",100,"🇧🇬","UN member","Bulgaria","bulgaria"
"BHR","Bahrain","Bahrain",48,"🇧🇭","UN member","Bahrain","bahrain"
"BHS","Bahamas","Bahamas",44,"🇧🇸","UN member","Bahamas","bahamas"
"BIH","Bosnia and Herzegovina","Bosnia & Herzegovina",70,"🇧🇦","UN member","Bosnia & Herzegovina","bosnia herzegovina"
"BLM","St. Barthélemy","St. Barthélemy",652,"🇧🇱","Other ISO 3166-1 assigned or reserved entity","St. Barthelemy","st barthelemy st barts"
"BLR","Belarus","Belarus",112,"🇧🇾","UN member","Belarus","belarus"
"BLZ","Belize","Belize",84,"🇧🇿","UN member","Belize","belize"
"BMU","Bermuda","Bermuda",60,"🇧🇲","Other ISO 3166-1 assigned or reserved entity","Bermuda","bermuda"
"BOL","Bolivia (Plurinational State of)","Bolivia",68,"🇧🇴","UN member","Bolivia","bolivia"
"BRA","Brazil","Brazil",76,"🇧🇷","UN member","Brazil","brazil"
"BRB","Barbados","Barbados",52,"🇧🇧","UN member","Barbados","barbados"
"BRN","Brunei Darussalam","Brunei",96,"🇧🇳","UN member","Brunei","brunei"
"BTN","Bhutan","Bhutan",64,"🇧🇹","UN member","Bhutan","bhutan"
"BVT","Bouvet Island","Bouvet Island",74,"🇧🇻","Other ISO 3166-1 assigned or reserved entity","Bouvet Island","bouvet island"
"BWA","Botswana","Botswana",72,"🇧🇼","UN member","Botswana","botswana"
"CAF","Central African Republic","Central African Republic",140,"🇨🇫","UN member","Central African Republic","central african republic car"
"CAN","Canada","Canada",124,"🇨🇦","UN member","Canada","canada"
"CCK","Cocos (Keeling) Islands","Cocos (Keeling) Islands",166,"🇨🇨","Other ISO 3166-1 assigned or reserved entity","Cocos Keeling Islands","cocos keeling islands"
