"cc_iso3c","ref_year","income_group","income_group_num"
"ABW",2023,"High income",4
"AFG",2023,"Low income",1
"AGO",2023,"Lower middle income",2
"ALB",2023,"Upper middle income",3
"AND",2023,"High income",4
"ARE",2023,"High income",4
"ARG",2023,"Upper middle income",3
"ARM",2023,"Upper middle income",3
"ASM",2023,"High income",4
"ATG",2023,"High income",4
"AUS",2023,"High income",4
"AUT",2023,"High income",4
"AZE",2023,"Upper middle income",3
"BDI",2023,"Low income",1
"BEL",2023,"High income",4
"BEN",2023,"Lower middle income",2
"BFA",2023,"Low income",1
"BGD",2023,"Lower middle income",2
"BGR",2023,"Upper middle income",3
"BHR",2023,"High income",4
"BHS",2023,"High income",4
"BIH",2023,"Upper middle income",3
"BLR",2023,"Upper middle income",3
"BLZ",2023,"Upper middle income",3
"BMU",2023,"High income",4
"BOL",2023,"Lower middle income",2
"BRA",2023,"Upper middle income",3
"BRB",2023,"High income",4
"BRN",2023,"High income",4
"BTN",2023,"Lower middle income",2
"BWA",2023,"Upper middle income",3
"CAF",2023,"Low income",1
"CAN",2023,"High income",4
"CHE",2023,"High income",4
"CHL",2023,"High income",4
"CHN",2023,"Upper middle income",3
"CIV",2023,"Lower middle income",2
"CMR",2023,"Lower middle income",2
"COD",2023,"Low income",1
"COG",2023,"Lower middle income",2
"COL",2023,"Upper middle income",3
"COM",2023,"Lower middle income",2
"CPV",2023,"Lower middle income",2
"CRI",2023,"Upper middle income",3
"CUB",2023,"Upper middle income",3
"CUW",2023,"High income",4
"CYM",2023,"High income",4
"CYP",2023,"High income",4
"CZE",2023,"High income",4
"DEU",2023,"High income",4
"DJI",2023,"Lower middle income",2
"DMA",2023,"Upper middle income",3
"DNK",2023,"High income",4
"DOM",2023,"Upper middle income",3
"DZA",2023,"Lower middle income",2
"ECU",2023,"Upper middle income",3
"EGY",2023,"Lower middle income",2
"ERI",2023,"Low income",1
"ESP",2023,"High income",4
"EST",2023,"High income",4
"ETH",2023,"Low income",1
"FIN",2023,"High income",4
"FJI",2023,"Upper middle income",3
"FRA",2023,"High income",4
"FRO",2023,"High income",4
"FSM",2023,"Lower middle income",2
"GAB",2023,"Upper middle income",3
"GBR",2023,"High income",4
"GEO",2023,"Upper middle income",3
"GGY",2023,"High income",4
"GHA",2023,"Lower middle income",2
"GIB",2023,"High income",4
"GIN",2023,"Lower middle income",2
"GMB",2023,"Low income",1
"GNB",2023,"Low income",1
"GNQ",2023,"Upper middle income",3
"GRC",2023,"High income",4
"GRD",2023,"Upper middle income",3
"GRL",2023,"High income",4
"GTM",2023,"Upper middle income",3
"GUM",2023,"High income",4
"GUY",2023,"High income",4
"HKG",2023,"High income",4
"HND",2023,"Lower middle income",2
"HRV",2023,"High income",4
"HTI",2023,"Lower middle income",2
"HUN",2023,"High income",4
"IDN",2023,"Upper middle income",3
"IMN",2023,"High income",4
"IND",2023,"Lower middle income",2
"IRL",2023,"High income",4
"IRN",2023,"Lower middle income",2
"IRQ",2023,"Upper middle income",3
"ISL",2023,"High income",4
"ISR",2023,"High income",4
"ITA",2023,"High income",4
"JAM",2023,"Upper middle income",3
"JEY",2023,"High income",4
"JOR",2023,"Lower middle income",2
"JPN",2023,"High income",4
